,id,zipcode,price,price_median,condition_type,status
25,1202000200,98002,233000.0,235000.0,good,buy
27,3303700376,98112,667000.0,915000.0,good,buy
65,3253500160,98144,317625.0,450000.0,good,buy
86,2599001200,98092,305000.0,309780.0,good,buy
98,722079104,98038,314000.0,342000.0,good,buy
169,1755700060,98133,371500.0,375000.0,good,buy
264,2123039032,98070,369900.0,463750.0,good,buy
334,191100045,98040,940000.0,993750.0,good,buy
353,3363900111,98103,437500.0,550000.0,good,buy
371,2231500030,98133,315000.0,375000.0,good,buy
395,3649100320,98028,330000.0,445000.0,good,buy
421,6073200075,98006,625000.0,760184.5,good,buy
425,1545808560,98038,245000.0,342000.0,good,buy
440,3353401710,98001,227950.0,260000.0,good,buy
459,1796360350,98042,255000.0,292000.0,good,buy
492,7942100310,98042,232000.0,292000.0,good,buy
520,1432400335,98058,288000.0,335000.0,good,buy
554,8718500075,98028,396000.0,445000.0,good,buy
567,2436701180,98105,671500.0,675000.0,good,buy
630,5437820310,98022,218000.0,279500.0,good,buy
637,5379805460,98188,245000.0,264000.0,good,buy
672,6067910030,98006,664000.0,760184.5,good,buy
696,7527200030,98075,700000.0,739999.0,good,buy
708,5231000060,98059,310000.0,435000.0,good,buy
725,2473400340,98058,320000.0,335000.0,good,buy
754,4385700765,98112,850000.0,915000.0,good,buy
767,8648200030,98042,260000.0,292000.0,good,buy
780,7230200340,98059,305000.0,435000.0,good,buy
781,3191000240,98034,400000.0,445950.0,good,buy
807,6067900060,98006,565000.0,760184.5,good,buy
858,623069068,98027,425000.0,570500.0,good,buy
905,3188100400,98115,530000.0,567000.0,good,buy
907,3387900390,98031,255000.0,288200.0,good,buy
919,1431700370,98058,290000.0,335000.0,good,buy
958,7279300070,98177,345500.0,554000.0,good,buy
963,1917300260,98022,210000.0,279500.0,good,buy
1010,1254200075,98117,460000.0,544000.0,good,buy
1033,3353400860,98001,249900.0,260000.0,good,buy
1085,9834200885,98144,360000.0,450000.0,good,buy
1137,7710100083,98022,225000.0,279500.0,good,buy
1144,5112800421,98058,225500.0,335000.0,good,buy
1145,3352402236,98178,252500.0,278277.0,good,buy
1148,809002435,98109,725000.0,736000.0,good,buy
1160,1865810060,98042,267500.0,292000.0,good,buy
1169,3110800260,98031,274700.0,288200.0,good,buy
1233,1450100070,98002,208000.0,235000.0,good,buy
1250,2473400570,98058,317000.0,335000.0,good,buy
1269,2919702075,98117,532500.0,544000.0,good,buy
1296,5458800125,98040,925000.0,993750.0,good,buy
1365,9407001860,98045,372000.0,399500.0,good,buy
1376,922069139,98038,260000.0,342000.0,good,buy
1377,84000335,98146,225000.0,305000.0,good,buy
1389,4102000075,98022,275000.0,279500.0,good,buy
1402,3298700125,98106,280000.0,315000.0,good,buy
1424,3500100226,98155,340895.0,375000.0,good,buy
1533,4395600060,98004,935000.0,1150000.0,good,buy
1587,3013301525,98136,453500.0,489950.0,good,buy
1594,8815400105,98115,500000.0,567000.0,good,buy
1650,9353300140,98059,284950.0,435000.0,good,buy
1652,6082400260,98168,231500.0,235000.0,good,buy
1720,5450900140,98040,830000.0,993750.0,good,buy
1722,3205000310,98056,345000.0,380000.0,good,buy
1724,1066600045,98056,350000.0,380000.0,good,buy
1733,8099900260,98075,544500.0,739999.0,good,buy
1738,2258500049,98122,469000.0,572000.0,good,buy
1739,626100023,98077,600000.0,652475.0,good,buy
1750,2787720140,98059,416000.0,435000.0,good,buy
1797,185000118,98178,212000.0,278277.0,good,buy
1828,952002765,98116,460000.0,562750.0,good,buy
1868,1387301360,98011,411800.0,470000.0,good,buy
1901,2126049032,98125,375000.0,425000.0,good,buy
1916,6072100140,98006,500000.0,760184.5,good,buy
1923,1545807990,98038,315000.0,342000.0,good,buy
1970,2968800626,98166,355000.0,390000.0,good,buy
2012,3626500045,98040,760000.0,993750.0,good,buy
2026,5347200160,98126,235000.0,395750.0,good,buy
2031,2420069017,98022,152900.0,279500.0,good,buy
2042,2767600171,98107,440000.0,529950.0,good,buy
2044,5315100806,98040,940000.0,993750.0,good,buy
2058,6893300350,98024,439900.0,460000.0,good,buy
2114,2916620240,98042,264950.0,292000.0,good,buy
2213,4427100105,98125,398000.0,425000.0,good,buy
2222,2817100570,98070,453000.0,463750.0,good,buy
2228,8651441620,98042,210000.0,292000.0,good,buy
2284,2796100160,98031,250000.0,288200.0,good,buy
2302,428000055,98056,322500.0,380000.0,good,buy
2309,824059083,98004,993000.0,1150000.0,good,buy
2330,7454000030,98126,250000.0,395750.0,good,buy
2351,2024059084,98006,625000.0,760184.5,good,buy
2353,2313900560,98116,554000.0,562750.0,good,buy
2360,1697000370,98198,234000.0,265000.0,good,buy
2364,5710600030,98027,500000.0,570500.0,good,buy
2365,7304300570,98155,366500.0,375000.0,good,buy
2376,303000445,98001,175000.0,260000.0,good,buy
2403,2206700295,98006,453000.0,760184.5,good,buy
2438,824059277,98004,985000.0,1150000.0,good,buy
2502,1781500435,98126,260000.0,395750.0,good,buy
2510,418000310,98056,155000.0,380000.0,good,buy
2567,6071700160,98006,603500.0,760184.5,good,buy
2590,3362900696,98103,415000.0,550000.0,good,buy
2601,2464400340,98115,381500.0,567000.0,good,buy
2603,5706500140,98022,205500.0,279500.0,good,buy
2604,1024069037,98075,525000.0,739999.0,good,buy
2605,9476700135,98056,300000.0,380000.0,good,buy
2669,3021059155,98002,161500.0,235000.0,good,buy
2701,7231502505,98055,220000.0,294950.0,good,buy
2708,3570000160,98075,610000.0,739999.0,good,buy
2710,5016002180,98112,780000.0,915000.0,good,buy
2716,3276180140,98056,365000.0,380000.0,good,buy
2730,9170500060,98033,649000.0,678350.0,good,buy
2762,6384500581,98116,555000.0,562750.0,good,buy
2768,3756100160,98033,678000.0,678350.0,good,buy
2771,3450300270,98059,268000.0,435000.0,good,buy
2797,5021900160,98040,711000.0,993750.0,good,buy
2826,8100000090,98010,256000.0,359999.5,good,buy
2844,8651443480,98042,282000.0,292000.0,good,buy
2888,5029450850,98023,205000.0,268450.0,good,buy
2890,3750605349,98001,210500.0,260000.0,good,buy
2905,2202500110,98006,430000.0,760184.5,good,buy
2914,9324800110,98125,420000.0,425000.0,good,buy
2932,8651410090,98042,209000.0,292000.0,good,buy
2965,6821102100,98199,510000.0,689800.0,good,buy
3031,1771110090,98077,316000.0,652475.0,good,buy
3077,8651401270,98042,203000.0,292000.0,good,buy
3078,3332500265,98118,311000.0,367500.0,good,buy
3184,3343903640,98056,249000.0,380000.0,good,buy
3208,2594200375,98136,427500.0,489950.0,good,buy
3223,2420069251,98022,262000.0,279500.0,good,buy
3227,2354300740,98027,551000.0,570500.0,good,buy
3238,1761300850,98031,271000.0,288200.0,good,buy
3260,9842300485,98126,380000.0,395750.0,good,buy
3300,1337800855,98112,885000.0,915000.0,good,buy
3302,8805400090,98056,289000.0,380000.0,good,buy
3304,844001140,98010,206000.0,359999.5,good,buy
3315,726049184,98133,294000.0,375000.0,good,buy
3327,2473250850,98058,318500.0,335000.0,good,buy
3393,3797000300,98103,405000.0,550000.0,good,buy
3412,3971700940,98155,330000.0,375000.0,good,buy
3416,7227501745,98056,368000.0,380000.0,good,buy
3426,7518502490,98117,515000.0,544000.0,good,buy
3448,9477001280,98034,425000.0,445950.0,good,buy
3478,1370803820,98199,629000.0,689800.0,good,buy
3483,8651400750,98042,209950.0,292000.0,good,buy
3518,2817800100,98058,328950.0,335000.0,good,buy
3527,8005100025,98022,195000.0,279500.0,good,buy
3530,5393601050,98144,445000.0,450000.0,good,buy
3635,5602000025,98022,251000.0,279500.0,good,buy
3649,5451210100,98040,938000.0,993750.0,good,buy
3679,6072100490,98006,527500.0,760184.5,good,buy
3737,585000008,98116,460000.0,562750.0,good,buy
3746,7230300100,98059,320000.0,435000.0,good,buy
3753,9828700900,98112,549000.0,915000.0,good,buy
3806,7227501450,98056,240000.0,380000.0,good,buy
3829,8550001515,98070,429592.0,463750.0,good,buy
3836,4302200336,98106,300000.0,315000.0,good,buy
3868,1311000600,98001,250000.0,260000.0,good,buy
3897,5482700100,98040,876650.0,993750.0,good,buy
3907,795000820,98168,220000.0,235000.0,good,buy
4016,6385000025,98116,521450.0,562750.0,good,buy
4044,322059097,98042,269900.0,292000.0,good,buy
4066,3856905010,98105,565000.0,675000.0,good,buy
4115,514500090,98005,550000.0,765475.0,good,buy
4134,7129302615,98118,292000.0,367500.0,good,buy
4139,396100025,98133,339999.0,375000.0,good,buy
4215,6163901751,98155,291500.0,375000.0,good,buy
4294,1235700042,98033,537000.0,678350.0,good,buy
4297,2320069206,98022,219000.0,279500.0,good,buy
4349,2492200956,98126,360000.0,395750.0,good,buy
4394,7549802600,98108,335000.0,342500.0,good,buy
4435,1423600300,98058,249950.0,335000.0,good,buy
4449,2695600195,98126,379500.0,395750.0,good,buy
4470,1454100056,98125,355000.0,425000.0,good,buy
4480,9353300090,98059,360000.0,435000.0,good,buy
4500,6072400820,98006,525000.0,760184.5,good,buy
4509,3362400615,98103,400000.0,550000.0,good,buy
4543,1568100215,98155,315000.0,375000.0,good,buy
4549,853000261,98022,197500.0,279500.0,good,buy
4661,9547205225,98115,540000.0,567000.0,good,buy
4682,6788201015,98112,690000.0,915000.0,good,buy
4684,9268200600,98117,413500.0,544000.0,good,buy
4725,3303230110,98034,424000.0,445950.0,good,buy
4728,2522059112,98042,248500.0,292000.0,good,buy
4765,4151800470,98033,675000.0,678350.0,good,buy
4780,411100020,98155,310000.0,375000.0,good,buy
4845,7942200050,98042,261000.0,292000.0,good,buy
4860,8562800250,98006,596000.0,760184.5,good,buy
4925,1003600080,98188,245000.0,264000.0,good,buy
4999,6430500010,98103,547000.0,550000.0,good,buy
5007,7454000605,98126,279000.0,395750.0,good,buy
5061,6671900130,98133,370000.0,375000.0,good,buy
5105,3797000680,98103,549000.0,550000.0,good,buy
5147,5595900280,98022,235000.0,279500.0,good,buy
5156,3904910050,98029,515000.0,575000.0,good,buy
5187,3450300020,98059,329000.0,435000.0,good,buy
5232,7319900345,98144,438500.0,450000.0,good,buy
5236,844000425,98010,199999.0,359999.5,good,buy
5300,3699100130,98033,495000.0,678350.0,good,buy
5317,7116000425,98002,150000.0,235000.0,good,buy
5333,1432400525,98058,195000.0,335000.0,good,buy
