,id,zipcode,price,price_median,condition_type,status
0,7129300520,98178,221900.0,278277.0,regular,buy
2,5631500400,98028,180000.0,445000.0,regular,buy
4,1954400510,98074,510000.0,642000.0,regular,buy
6,1321400060,98003,257500.0,267475.0,regular,buy
8,2414600126,98146,229500.0,305000.0,regular,buy
9,3793500160,98038,323000.0,342000.0,regular,buy
11,9212900260,98115,468000.0,567000.0,regular,buy
12,114101516,98028,310000.0,445000.0,regular,buy
13,6054650070,98074,400000.0,642000.0,regular,buy
16,1875500060,98019,395000.0,401250.0,regular,buy
17,6865200140,98103,485000.0,550000.0,regular,buy
18,16000397,98002,189000.0,235000.0,regular,buy
19,7983200060,98003,230000.0,267475.0,regular,buy
22,7137970340,98092,285000.0,309780.0,regular,buy
23,8091400200,98030,252700.0,282255.0,regular,buy
25,1202000200,98002,233000.0,235000.0,good,buy
27,3303700376,98112,667000.0,915000.0,good,buy
28,5101402488,98115,438000.0,567000.0,regular,buy
31,2426039314,98133,280000.0,375000.0,regular,buy
33,7589200193,98117,535000.0,544000.0,regular,buy
34,7955080270,98058,322500.0,335000.0,regular,buy
40,5547700270,98074,625000.0,642000.0,regular,buy
43,9270200160,98119,685000.0,744975.0,regular,buy
44,1432701230,98058,309000.0,335000.0,regular,buy
46,8945200830,98023,210490.0,268450.0,regular,buy
48,9215400105,98115,450000.0,567000.0,regular,buy
50,5245600105,98148,228000.0,278000.0,regular,buy
51,7231300125,98056,345000.0,380000.0,regular,buy
59,8079040320,98059,430000.0,435000.0,regular,buy
63,9528102996,98115,549000.0,567000.0,regular,buy
64,1189001180,98122,425000.0,572000.0,regular,buy
65,3253500160,98144,317625.0,450000.0,good,buy
66,3394100030,98004,975000.0,1150000.0,regular,buy
68,1274500060,98042,204000.0,292000.0,regular,buy
71,1049000060,98034,325000.0,445950.0,regular,buy
76,4036801170,98008,380000.0,545000.0,regular,buy
77,2391600320,98116,480000.0,562750.0,regular,buy
82,9418400240,98118,355000.0,367500.0,regular,buy
83,1523059105,98059,356000.0,435000.0,regular,buy
84,1133000671,98125,315000.0,425000.0,regular,buy
86,2599001200,98092,305000.0,309780.0,good,buy
88,1332700270,98056,215000.0,380000.0,regular,buy
89,3869900162,98136,335000.0,489950.0,regular,buy
90,2791500270,98023,243500.0,268450.0,regular,buy
92,4168000060,98023,153000.0,268450.0,regular,buy
93,6021501535,98117,430000.0,544000.0,regular,buy
95,1483300570,98040,905000.0,993750.0,regular,buy
96,3422049190,98032,247500.0,249000.0,regular,buy
97,1099611230,98023,199000.0,268450.0,regular,buy
98,722079104,98038,314000.0,342000.0,good,buy
103,2450000295,98004,1088000.0,1150000.0,regular,buy
104,6197800045,98058,290000.0,335000.0,regular,buy
106,546000875,98117,460000.0,544000.0,regular,buy
107,3530510041,98198,188500.0,265000.0,regular,buy
109,3134100116,98052,470000.0,615000.0,regular,buy
112,2525310310,98038,272500.0,342000.0,regular,buy
113,6126500060,98108,329950.0,342500.0,regular,buy
116,3362400431,98103,518500.0,550000.0,regular,buy
117,4060000240,98178,205425.0,278277.0,regular,buy
118,3454800060,98168,171800.0,235000.0,regular,buy
121,6675500070,98034,391500.0,445950.0,regular,buy
122,3626039187,98117,395000.0,544000.0,regular,buy
127,8732020310,98023,260000.0,268450.0,regular,buy
129,7853210060,98065,430000.0,500000.0,regular,buy
130,3668000070,98092,212000.0,309780.0,regular,buy
133,8929000270,98029,453246.0,575000.0,regular,buy
135,921049315,98003,199000.0,267475.0,regular,buy
136,3655000070,98003,220000.0,267475.0,regular,buy
138,3992700335,98125,382500.0,425000.0,regular,buy
139,2767603505,98107,519950.0,529950.0,regular,buy
140,4232901525,98119,665000.0,744975.0,regular,buy
141,1777500060,98006,527700.0,760184.5,regular,buy
142,1432900240,98058,205000.0,335000.0,regular,buy
144,6071600370,98006,500000.0,760184.5,regular,buy
147,3224079105,98027,430000.0,570500.0,regular,buy
149,1994200024,98103,511000.0,550000.0,regular,buy
150,3362900810,98103,532170.0,550000.0,regular,buy
154,7920100045,98115,350000.0,567000.0,regular,buy
155,8960000030,98058,215000.0,335000.0,regular,buy
158,8029200135,98022,247000.0,279500.0,regular,buy
159,1081200350,98059,320000.0,435000.0,regular,buy
160,84000105,98146,255000.0,305000.0,regular,buy
161,3756500060,98034,438000.0,445950.0,regular,buy
163,3574800520,98034,441000.0,445950.0,regular,buy
164,2617300160,98027,420000.0,570500.0,regular,buy
165,2558660270,98034,370000.0,445950.0,regular,buy
169,1755700060,98133,371500.0,375000.0,good,buy
170,4330600435,98166,284000.0,390000.0,regular,buy
172,1999700045,98133,313000.0,375000.0,regular,buy
174,1687900520,98006,673000.0,760184.5,regular,buy
175,7234600798,98122,425000.0,572000.0,regular,buy
176,3881900445,98144,399950.0,450000.0,regular,buy
177,2254502445,98122,385000.0,572000.0,regular,buy
178,5437810320,98022,269950.0,279500.0,regular,buy
179,9158100075,98177,330000.0,554000.0,regular,buy
180,3830630310,98030,260000.0,282255.0,regular,buy
183,6661200320,98038,163500.0,342000.0,regular,buy
187,1954440060,98074,560000.0,642000.0,regular,buy
189,1115810060,98052,585188.0,615000.0,regular,buy
190,9477200200,98034,305000.0,445950.0,regular,buy
191,1432600560,98058,166950.0,335000.0,regular,buy
192,2287000060,98040,799000.0,993750.0,regular,buy
194,3996900125,98155,230000.0,375000.0,regular,buy
195,7796450200,98023,256883.0,268450.0,regular,buy
198,2824079053,98024,440000.0,460000.0,regular,buy
200,3542300060,98056,210000.0,380000.0,regular,buy
202,7551300060,98107,470000.0,529950.0,regular,buy
203,100600550,98023,226500.0,268450.0,regular,buy
204,3211100860,98059,274250.0,435000.0,regular,buy
205,3456000310,98040,840000.0,993750.0,regular,buy
207,7465900060,98116,425000.0,562750.0,regular,buy
208,1222000055,98166,180250.0,390000.0,regular,buy
210,2310030510,98038,320000.0,342000.0,regular,buy
211,1025049114,98105,625504.0,675000.0,regular,buy
212,8677300550,98074,592500.0,642000.0,regular,buy
219,7611200125,98177,467000.0,554000.0,regular,buy
220,5611500140,98075,686000.0,739999.0,regular,buy
224,705700390,98038,328000.0,342000.0,regular,buy
226,8682281200,98053,479950.0,635000.0,regular,buy
227,7972000200,98023,264950.0,268450.0,regular,buy
228,722059070,98031,235000.0,288200.0,regular,buy
229,7202340400,98053,516500.0,635000.0,regular,buy
233,943100260,98024,213000.0,460000.0,regular,buy
237,7228500560,98122,410000.0,572000.0,regular,buy
240,3584000310,98003,225000.0,267475.0,regular,buy
241,8150100045,98126,210000.0,395750.0,regular,buy
243,6131600075,98002,225000.0,235000.0,regular,buy
244,9468200125,98103,480000.0,550000.0,regular,buy
247,7899800890,98106,181000.0,315000.0,regular,buy
249,3797001895,98103,481000.0,550000.0,regular,buy
